English,Spanish,French,Haitian Creole,Portuguese
professional,profesional,professionnel,pwofesyonèl,profissional
profit,xxx,profit,pwofi,xxx
program,programa,programme,pwogram,programa
programme,programa,programme,pwogram,programa
progress,progreso,progrès,pwogrè,progresso
prohibit,prohibir,xxx,pwogrè,proibir
project,proyecto,projet,pwojè,projeto
promise,promesa,promesse,pwomès,promessa
promote,promover,promouvoir,pwomote,promover
pronoun,pronombre,pronom,pwonon,pronome
pronounce,pronunciar,prononcer,pwononse,pronunciar
pronunciation,pronunciación,prononciation,pwononsyasyon,xxx
proof,xxx,xxx,pwononsyasyon,prova
proper,xxx,approprié,apwopriye,xxx
property,propiedad,propriété,pwopriyete,propriedade
proportion,proporción,proportion,pwopòsyon,proporção
proposal,propuesta,proposition,pwopozisyon,proposta
propose,proponer,proposer,pwopoze,propor
proposition,proposición,proposition,pwopozisyon,proposição
prospect,prospecto,perspective,pwospè,perspectiva
protect,proteger,protéger,pwoteje,proteger
protection,protección,protection,pwoteksyon,proteção
protocol,protocolo,protocole,pwotokòl,protocolo
prove,probar,prouver,pwouve,provar
prudent,prudente,prudent,pridan,prudente
psychiatry,psiquiatría,psychiatrie,sikyatri,psiquiatria
psychoanalysis,psicoanálisis,psychanalyse,psikonaliz,psicanálise
psychology,psicología,psychologie,sikoloji,psicologia
public,público,publique,piblik,público
publication,publicación,publication,piblikasyon,publicação
publish,publicar,publier,pibliye,publicar
punctual,puntual,ponctuel,ponktyèl,pontual
punctuation,puntuación,ponctuation,ponktiyasyon,pontuação
punish,xxx,punir,ponktiyasyon,punir
purchase,xxx,achat,achte,xxx
purple,púrpura,xxx,achte,xxx
purpose,xxx,xxx,achte,propósito
pursue,perseguir,poursuivre,pouswiv,perseguir
puzzle,xxx,puzzle,pouswiv,xxx
quadrant,cuadrante,quadrant,kadran,quadrante
quadrilateral,cuadrilátero,quadrilatère,kwadrilateral,quadrilátero
qualification,calificación,qualification,kalifikasyon,qualificação
qualify,xxx,qualifier,kalifye,qualificar
qualitative,cualitativo,qualitatif,kalitatif,qualitativo
quality,calidad,qualité,bon jan kalite,qualidade
quantification,cuantificación,quantification,quantifikasyon,quantificação
quantity,xxx,quantité,kantite,quantidade
quarrel,xxx,querelle,kantite,xxx
quart,xxx,xxx,kantite,quarto
quarter,cuarto,quart,kantite,xxx
question,xxx,question,kesyon,xxx
questionnaire,cuestionario,questionnaire,kesyonè,questionário
quiet,xxx,xxx,kesyonè,quieto
quota,cuota,quota,kota,xxx
quote,xxx,xxx,quote,xxx
quotient,cociente,quotient,kosyan,quociente
radar,Radar,radar,rada,radar
radiation,radiación,radiation,radyasyon,radiação
radical,radical,radical,radikal,radical
radio,radio,radio,radyo,rádio
range,rango,xxx,ranje,xxx
rapid,rápido,rapide,rapid,rápido
rat,rata,rat,rat,rato
ratio,relación,rapport,ratio,razão
rational,racional,rationnel,rasyonèl,racional
razor,xxx,rasoir,razwa,xxx
react,reaccionar,réagir,reyaji,reagir
ready,xxx,xxx,reyaji,preparar
realise,xxx,réaliser,reyalize,xxx
reality,realidad,réalité,reyalite,realidade
realization,realización,réalisation,realizasyon,realização
reason,razón,raison,rezon,xxx
reasonable,razonable,raisonnable,rezonab,razoável
receipt,recibo,xxx,rezonab,recibo
receive,xxx,recevoir,rezonab,receber
recent,reciente,récent,resan,recente
recognise,reconocer,reconnaître,rekonèt,reconhecer
recognition,reconocimiento,reconnaissance,rekonèt,reconhecimento
recommend,recomendar,recommander,rekonèt,recomendar
reconstruction,reconstrucción,reconstruction,rekonstriksyon,reconstrução
record,registro,xxx,rekonstriksyon,registro
recover,recuperar,récupérer,retire,recuperar
rectangle,rectángulo,rectangle,rektang,retângulo
recursion,recursividad,récursivité,recursion,recursão
reduce,reducir,réduire,recursion,reduzir
reduction,reducción,réduction,rediksyon,redução
refer,xxx,référer,refere,xxx
reference,referencia,référence,referans,referência
refine,refinar,affiner,rafine,refinar
reflect,reflejar,refléter,reflete,refletir
reflection,reflexión,réflexion,refleksyon,reflexão
refresh,refrescar,rafraîchir,rafrechi,xxx
refuse,xxx,refuser,refize,recusar
regard,xxx,égard,refize,xxx
regime,régimen,régime,rejim,regime
region,región,région,rejyon an,região
register,registro,registre,rejyon an,registrar
regret,xxx,regret,regrèt,xxx
regular,regular,régulier,regilye,regular
regulate,regular,réglementer,reglemante,regular
reinforce,reforzarse,renforcer,ranfòse,reforçar
reinterpretation,reinterpretación,réinterprétation,reentèpretasyon,reinterpretação
reject,rechazar,rejeter,rejte,rejeitar
rejoice,xxx,réjouir,rejte,xxx
relate,relatar,xxx,rejte,xxx
relation,relación,relation,relasyon,relação
relative,relativo,relatif,relatif,relativo
relax,relajarse,xxx,relax,relaxar
relevance,xxx,xxx,relax,relevância
relevant,xxx,xxx,relevan,relevante
relief,xxx,relief,relevan,xxx
religion,religión,religion,relijyon,religião
reluctance,reluctancia,réluctance,relictance,relutância
remark,xxx,remarque,remak,xxx
remarkable,xxx,remarquable,remakab,xxx
remedy,xxx,remède,remèd,remédio
remind,recordar,xxx,remèd,xxx
remove,xxx,retirer,retire,remover
repair,reparar,xxx,retire,reparar
repeat,repetir,répéter,repete,repita
repetition,repetición,répétition,repetisyon,repetição
replace,reemplazar,remplacer,ranplase,xxx
reply,xxx,répondre,reponn,xxx
report,xxx,rapport,reponn,relatório
represent,representar,représenter,reprezante,representar
representation,representación,représentation,reprezantasyon,representação
representative,representante,représentant,reprezantan,representante
reproduce,reproducir,reproduire,repwodui,reproduzir
reproduction,reproducción,reproduction,repwodiksyon,reprodução
republic,república,république,repiblik,república
reputation,reputación,réputation,repitasyon,reputação
require,requerir,xxx,repitasyon,xxx
rescue,rescate,xxx,repitasyon,resgatar
research,xxx,recherche,rechech,xxx
reserve,reservar,réserve,rezève,reserva
reside,residir,résider,rezève,residir
resign,renunciar,xxx,demisyone,renunciar
resist,resistir,résister,reziste,resistir
resistance,resistencia,résistance,rezistans,resistência
resolve,resolver,résoudre,rezoud,resolver
resonance,resonancia,résonance,rezoud,ressonância
resource,recurso,ressource,resous,recurso
respect,respeto,respect,respè,respeito
respond,responder,répondre,reponn,responder
responsible,responsable,responsable,responsab,responsável
restaurant,restaurante,restaurant,restoran,restaurante
restore,restaurar,restaurer,restore,restaurar
restrain,xxx,retenir,restore,restrir
restrict,restringir,xxx,restriksyon,restringir
result,resultado,résultat,rezilta,resultado
retain,retener,retenir,retye,reter
retire,retirarse,se retirer,retye,xxx
return,xxx,retour,retounen,retornar
reunion,reunión,réunion,reunion,reunião
reveal,revelar,révéler,revele,revelar
revenge,xxx,vengeance,revele,xxx
revenue,xxx,revenu,revni,xxx
reverse,xxx,inverse,ranvèse,reverter
review,revisar,revoir,revize,xxx
revise,revisar,réviser,revize,rever
revision,revisión,révision,revizyon,revisão
revolution,revolución,révolution,revolisyon,revolução
reward,xxx,xxx,rekonpans,xxx
rhapsody,rapsodia,rhapsodie,rapsodi,rapsódia
rhetoric,retórica,rhétorique,rapsodi,retórica
rhyme,rima,rime,rime,rima
ribbon,xxx,ruban,riban,xxx
rich,rico,riche,rich,rico
rigid,rígido,rigide,rijid,rígido
rival,rival,rival,rival li,rival
rivalry,rivalidad,rivalité,rivalite,rivalidade
river,xxx,rivière,rivyè,xxx
robbery,xxx,xxx,rivyè,roubo
rock,roca,rocher,wòch,xxx
role,xxx,rôle,wòl,xxx
round,redondo,xxx,wòl,redondo
route,ruta,xxx,wout,rota
royal,xxx,royal,wayal,xxx
royalty,xxx,royauté,wayal,xxx
rythm,ritmo,rythm,ritm,ritmo
sacred,sagrado,sacré,sakre,sagrado
sacrifice,sacrificio,sacrifier,sakrifis,sacrifício
saddle,xxx,selle,sakrifis,xxx
sailor,marinero,xxx,sakrifis,xxx
salad,ensalada,salade,sòs salad,salada
salary,salario,salaire,salè,salário
sandwich,sándwich,sandwich,sandwich,sanduíche
satisfaction,satisfacción,satisfaction,satisfaksyon,satisfação
satisfactory,satisfactorio,satisfaisant,satisfezan,satisfatório
satisfy,satisfacer,satisfaire,satisfè,satisfazer
sauce,xxx,sauce,satisfè,xxx
saucer,xxx,soucoupe,satisfè,xxx
scale,escala,échelle,satisfè,escala
scarce,xxx,xxx,satisfè,escasso
scenario,xxx,scénario,senaryo,cenário
scene,escena,scène,senaryo,xxx
scenery,escenario,xxx,senaryo,xxx
schema,esquema,schéma,chema,esquema
scheme,esquema,schème,scheme,esquema
science,ciencia,science,syans,ciência
scientific,científico,scientifique,syantifik,científico
scientist,científico,scientifique,syantis,cientista
scope,xxx,xxx,syantis,escopo
scrape,xxx,xxx,grate,xxx
scratch,xxx,xxx,grate,xxx
screen,xxx,écran,grate,xxx
search,xxx,recherche,rechèch,xxx
season,estación,saison,sezon,xxx
second,segundo,xxx,sezon,segundo
secrecy,secreto,secret,sekrè,segredo
secret,secreto,secrète,sekrè,segredo
secretary,secretario,secrétaire,sekretè,secretário
section,sección,section,seksyon,seção
sector,sector,secteur,sektè,setor
secure,seguro,sécurisé,an sekirite,seguro
segment,segmento,segment,segman,segmento
segmentation,segmentación,segmentation,segmentasyon,segmentação
select,seleccionar,sélectionner,segmentasyon,selecione
selection,selección,sélection,seleksyon,seleção
semantics,semántica,sémantique,semantik,semântica
sense,sentido,sens,sans,senso
sensitive,sensible,sensible,sansib,xxx
separate,separado,séparé,separe,separar
separation,separación,séparation,separasyon,separação
sequence,secuencia,séquence,sekans,sequência
series,serie,série,seri,série
serious,xxx,sérieux,seri,sério
servant,servidor,serviteur,seri,servo
serve,xxx,servir,seri,servir
service,servicio,service,sèvis,serviço
settle,asentarse,xxx,regle,resolver
severe,severo,xxx,regle,xxx
sex,sexo,sexe,sèks,sexo
shake,xxx,xxx,souke,xxx
shift,xxx,xxx,shift,xxx
shilling,chelín,shilling,chilin,xxx
shoulder,xxx,épaule,chilin,xxx
signal,señal,signal,siyal,sinal
signature,xxx,signature,siyati,assinatura
significant,significativo,significatif,siyati,significativo
silence,silencio,silence,silans,silêncio
silent,xxx,xxx,silans,xxx
similar,similar,similaire,silans,semelhante
simple,simple,simple,silans,simples
simplicity,xxx,simplicité,senplisite,simplicidade
simplification,simplificación,simplification,senplifikasyon,simplificação
simplify,simplificar,simplifier,senplifye,simplificar
simulate,simular,simuler,simulation,simular
sincere,sincero,sincère,sensè,sincero
sincerity,sinceridad,sincérité,senserite,sinceridade
site,sitio,site,sit,site
situation,situación,situation,sitiyasyon,situação
slave,esclavo,esclave,esklav,escravo
slavery,esclavitud,esclavage,esklav,xxx
slide,deslizar,glisser,glise,deslizar
slippery,xxx,xxx,glise,xxx
smile,xxx,sourire,glise,xxx
social,social,sociale,sosyal,social
socialist,socialista,socialiste,sosyalis,socialista
society,sociedad,société,sosyete a,sociedade
sociology,sociología,sociologie,sosyoloji,sociologia
sofa,sofá,xxx,sofa,sofá
soldier,soldado,soldat,sòlda,soldado
sole,xxx,seul,sèl,xxx
solemn,solemne,solennel,solanèl,solene
solid,sólido,solide,solid,sólido
solidarity,solidaridad,solidarité,solidarite,solidariedade
solidify,solidificar,solidifier,solidifye,solidificar
solidity,solidez,solidité,solidite,solidez
solution,solución,solution,solisyon,solução
solve,resolver,résoudre,solisyon,resolver
sound,sonido,xxx,solisyon,xxx
source,xxx,source,sous,xxx
space,espacio,espace,sous,espaço
special,especial,spécial,espesyal,especial
specific,específico,spécifique,espesifik,específico
specify,especificar,spécifier,espesifize,especificar
spectrum,espectro,spectre,spectre,espectro
spell,xxx,épeler,spectre,xxx
spend,xxx,dépenser,spectre,xxx
sphere,esfera,sphère,esfè,esfera
spiral,espiral,spirale,espiral,espiral
spirit,espíritu,esprit,espiral,espírito
spite,xxx,xxx,espiral,despeito
splendid,espléndido,splendide,espiral,esplêndido
sport,deporte,sport,espiral,esporte
spread,xxx,xxx,espiral,espalhar
spring,xxx,printemps,espiral,xxx
square,xxx,xxx,espiral,quadrado
stable,estable,xxx,ki estab,estável
stage,xxx,xxx,ki estab,estágio
stair,escalera,xxx,ki estab,xxx
standard,estándar,standard,estanda,xxx
state,estado,État,eta,estado
station,estación,xxx,estasyon,xxx
statistic,estadística,statistique,statistik,estatística
statistics,estadística,statistiques,estatistik,estatísticas
statue,estatua,statue,estati,estátua
status,estado,statut,estati,status
stereotype,estereotipo,stéréotype,estereyotip,estereótipo
stock,xxx,xxx,stock,estoque
stocking,xxx,stockage,stock,xxx
stomach,estómago,estomac,lestomak,estômago
storm,tormenta,xxx,lestomak,xxx
story,historia,histoire,lestomak,história
straight,xxx,droit,lestomak,xxx
strange,xxx,étrange,etranj,estranho
strategy,estrategia,stratégie,estrateji,estratégia
stress,estrés,stresser,estrès,estresse
strict,estricto,strict,strik,estrito
structure,estructura,structure,estrikti,estrutura
student,xxx,étudiant,estrikti,estudante
studies,estudios,études,etid,estudos
study,estudiar,étude,etid,estudar
stupid,estúpido,stupide,estipid,estúpido
style,estilo,style,style,estilo
subject,sujeto,sujet,style,xxx
subjectivity,subjetividad,subjectivité,subjectivite,subjetividade
submit,xxx,soumettre,soumèt,xxx
subordinate,subordinar,subalterne,sibòdone,subordinar
subsequent,xxx,xxx,sibòdone,subsequente
subsidy,subvención,subvention,sibòdone,xxx
substance,sustancia,substance,sibstans,substância
substitute,sustituto,suppléer,sibstans,substituir
substitution,sustitución,substitution,sibstitisyon,substituição
success,xxx,succès,sibstitisyon,sucesso
successor,sucesor,successeur,siksesè,sucessor
sudden,xxx,soudain,toudenkou,xxx
suffer,sufrir,souffrir,toudenkou,sofrer
sufficient,suficiente,suffisant,toudenkou,suficiente
suffix,sufijo,suffixe,sifiks,sufixo
sugar,azúcar,xxx,sifiks,açúcar
suggest,xxx,suggérer,sifiks,xxx
suggestion,sugerencia,suggestion,sijesyon,sugestão
sum,suma,somme,sòm,soma
superstition,superstición,superstition,sipèstisyon,superstição
supper,xxx,souper,soupe,xxx
supplement,suplemento,supplément,sipleman,suplemento
support,xxx,xxx,sipò,xxx
suppose,suponer,supposer,sipoze,xxx
surface,superficie,surface,sifas,superfície
surprise,sorpresa,surprendre,sipriz,surpresa
survive,sobrevivir,survivre,siviv,sobreviver
suspect,sospechar,suspect,sispèk,suspeito
suspend,suspender,suspendre,sispann,suspender
suspicion,suspicion,soupçon,sispèk,suspeita
suspicious,sospechoso,suspect,sispèk,suspeito
sustain,sostener,soutenir,soutni,sustentar
syllabe,sílaba,syllabe,silab,sílaba
symbol,símbolo,symbole,senbòl,símbolo
sympathetic,simpático,sympathique,senpatik,simpático
sympathy,xxx,sympathie,senpati,simpatia
synonym,sinónimo,synonyme,sinonim,sinônimo
syntax,sintaxis,syntaxe,sentaks,sintaxe
synthesis,síntesis,synthèse,sentèz,síntese
system,sistema,système,sistèm,sistema
table,xxx,tableau,sistèm,xxx
tailor,xxx,tailleurs,sistèm,xxx
tangent,tangente,tangente,tanjant,tangente
tariff,xxx,tarif,tarif yo,tarifa
taxi,taxi,taxi,taksi,táxi
technical,técnico,technique,teknik,técnico
technician,técnico,technicien,teknisyen,técnico
technique,técnica,technique,teknik,técnica
technology,tecnología,technologie,teknoloji,tecnologia
telegram,telegrama,télégramme,telegram,telegrama
telegraph,telégrafo,télégraphe,telegraf,telégrafo
telephone,teléfono,téléphone,telefòn,telefone
telescope,telescopio,télescope,teleskòp,telescópio
television,televisión,télévision,televizyon,televisão
temperature,temperatura,température,tanperati,temperatura
temple,templo,temple,tanperati,templo
temporary,temporario,temporaire,tanporè,temporário
tender,xxx,tendre,tanporè,xxx
tense,tenso,tendu,tansyon,tenso
tension,tensión,tension,tansyon,tensão
terminate,terminar,terminer,termine,terminar
terrible,terible,terrible,terib,terrível
testimony,testimonio,témoignage,temwayaj,testemunho
testosterone,testosterona,testostérone,testostewòn,testosterona
tetanus,tétanos,tétanos,tetanòs,tétano
text,texto,texte,tèks,texto
theatre,teatro,théâtre,teyat,teatro
theatrical,teatral,théâtral,teyat,teatral
theme,tema,thème,tèm,tema
theory,teoría,théorie,teyori,teoria
therapy,terapia,thérapie,terapi,terapia
thesis,tesis,thèse,tèz,tese
throat,garganta,xxx,tèz,garganta
ticket,xxx,billet,tèz,bilhete
tiger,tigre,tigre,tig,tigre
timid,tímido,timide,timid,tímido
title,título,titre,timid,título
tobacco,tabaco,tabac,tabak,tabaco
tomato,tomate,tomate,tomat,tomate
tongue,lengua,langue,tomat,língua
topaz,topacio,topaze,topaz,topázio
topic,xxx,xxx,topaz,tópico
total,total,total,total,total
totally,totalmente,totalement,totalman,totalmente
touch,xxx,touche,totalman,xxx
tourist,turístico,touristique,touris,turista
towel,toalla,xxx,touris,xxx
trace,xxx,tracer,tras,traço
tradition,tradición,tradition,tradisyon,tradição
traffic,tráfico,trafic,trafik,tráfego
train,tren,former,tren,trem
transcription,transcripción,transcription,transkripsyon,transcrição
transfer,transferir,transfert,transfere,transferir
transform,transformar,transformer,transfòme,transformar
transformation,transformación,transformation,transfòmasyon,transformação
transfusion,transfusión,transfusion,transfizyon,transfusão
transit,tránsito,transit,transpò piblik,trânsito
transition,transición,transition,tranzisyon,transição
translate,xxx,traduire,tradwi,xxx
translation,traducción,traduction,tradiksyon,tradução
translator,traductor,xxx,tradiktè,tradutor
transmission,transmisión,transmission,transmisyon,transmissão
transmit,transmitir,transmettre,transmèt,transmitir
transparency,transparencia,transparence,transparans,transparência
transport,transporte,transport,transpò,transporte
trap,xxx,attraper,trape,xxx
treasure,tesoro,trésor,trezò,tesouro
treasury,xxx,xxx,trezò,xxx
treat,tratar,traiter,trete,tratar
tremble,temblar,trembler,tranble,tremer
triangle,triángulo,triangle,triyang,triângulo
tribe,tribu,tribu,triyang,tribo
trick,truco,xxx,triyang,xxx
triple,triple,tripler,trip,triplo
triumphant,triunfante,triomphant,triyonfan,triunfante
trouble,problema,xxx,triyonfan,xxx
trumpet,trompeta,trompette,twonpèt,trombeta
trunk,xxx,tronc,twonpèt,xxx
tube,tubo,tube,tib,tubo
ultimate,último,ultime,ultim,xxx
uncle,xxx,oncle,ultim,xxx
uniform,uniforme,uniforme,inifòm,uniforme
unify,unificar,unifier,inifye,unificar
union,unión,union,inifye,união
unique,único,unique,inik,xxx
unity,unidad,unité,inite,unidade
universal,universal,universel,inivèsèl,universal
universe,universo,univers,inivèsèl,universo
university,universidad,université,inivèsite,universidade
upper,superior,xxx,inivèsite,superior
urgency,urgencia,urgence,ijans,urgência
urgent,urgente,urgent,ijans,urgente
usual,habitual,usuel-le,ijans,habitual
utilise,utilizar,utiliser,itilize,utilizar
utilize,utilizar,utiliser,itilize,utilizar
valid,válido,valide,valab,válido
valley,valle,vallée,valab,xxx
valuable,xxx,xxx,valab,xxx
value,valor,valeur,valè,valor
variant,variante,variante,variant,variante
variation,variación,variation,varyasyon,variação
variety,variedad,variété,varyete,variedade
various,varios,xxx,varyete,vários
vary,variar,varier,varye,variar
vegetables,verduras,xxx,varye,vegetais
vegetal,vegetal,xxx,varye,vegetal
vegetarian,vegetariano,végétarien,vejetaryen,vegetariano
vehicle,vehículo,véhicule,vejetaryen,veículo
vengeance,venganza,vengeance,vejetaryen,vingança
venomous,venenoso,venimeux,vejetaryen,venenoso
verb,verbo,verbe,vèb,verbo
verbal,verbal,verbal,vèbal,verbal
verdict,veredicto,verdict,vèdik,veredicto
verify,verificar,vérifier,verifye,verificar
verse,versículo,verset,vèsè,verso
version,versión,version,vèsyon,versão
via,xxx,via,via,xxx
vibration,vibración,vibration,vibrasyon,vibração
victory,victoria,victoire,viktwa,vitória
village,xxx,village,vilaj,xxx
violate,violar,violer,vyole,violar
violence,violencia,violence,vyolans,violência
violent,violento,violent,vyolan,violento
virtual,virtual,virtuel,vityèl,virtual
virtue,virtud,vertu,vityèl,virtude
virus,virus,virus,viris,vírus
visible,visible,visible,vizib,visível
vision,visión,vision,vizyon,visão
visit,visita,visite,vizite,visita
visitor,visitante,visiteur,vizitè,visitante
visual,visual,visuel,vizyèl,visual
vocabulary,vocabulario,vocabulaire,vokabilè,vocabulário
volleyball,voleibol,volley-ball,volebòl,voleibol
voltage,voltaje,xxx,vòltaj,xxx
volume,volumen,volume,volim,volume
voluntary,voluntario,volontaire,volontè,voluntário
vote,votar,voter,vote,voto
vowel,vocal,voyelle,vwayèl,vogal
voyage,viaje,voyage,vwayèl,viagem
watchman,xxx,xxx,wachmann,xxx
weekend,xxx,xxx,wikenn,xxx
west,Oeste,Ouest,lwès,oeste
whiskey,whisky,whisky,wiski,uísque
whistle,xxx,xxx,sifle,xxx
winter,invierno,hiver,sifle,inverno
write,xxx,écrire,sifle,xxx
zinc,zinc,zinc,zenk,zinco
zombie,zombi,zombi,zonbi,zumbi
zoo,zoológico,xxx,zou,zoológico
zoology,zoología,zoologie,zooloji,zoologia
